LocalTimeStamp,PupilLeft,PupilRight,EEG.Cz,EEG.Fz,EEG.Pz
09:47:38.676,2.64,2.86,4.440526,3.902358,-5.00653
09:47:38.701,2.6,2.88,-0.161867,1.841637,0.133983
09:47:38.726,2.64,2.87,1.892974,1.836118,2.687432
09:47:39.126,2.6,2.91,-10.92326,-9.016603,-8.877526
09:47:39.176,2.58,2.89,8.07871,-4.855212,2.927613
09:47:39.201,2.74,2.87,-1.662438,-5.352968,2.918839
09:47:39.226,2.54,2.84,-11.390791,-5.336926,-4.267344
09:47:39.251,2.73,2.98,-2.648869,6.466444,-4.761072
09:47:39.276,2.53,2.89,-3.154776,7.987063,-2.695521
09:47:39.301,3,2.93,-0.586858,8.472871,-1.665389
09:47:39.326,2.15,2.95,6.082078,4.854658,6.535501
09:47:39.351,2.66,2.93,0.942822,6.891901,6.516427
09:47:39.376,3.14,2.91,-2.648635,-1.309505,5.465271
09:47:39.426,2.85,2.87,-2.651723,-5.400648,-12.486445
09:47:39.451,2.64,2.84,1.460324,-3.851127,-0.166963
09:47:39.476,2.63,2.9,-5.688106,-3.830623,-4.768872
09:47:39.501,2.64,2.93,3.047914,-0.746833,-0.658168
09:47:39.526,2.57,2.85,-3.115064,-4.328698,-0.655683
09:47:39.551,2.49,2.96,-4.133933,-12.520338,-0.653205
09:47:39.576,2.63,2.96,-7.707681,-8.890836,-4.742912
09:47:39.601,2.68,2.88,-2.04407,-2.71137,-4.728698
09:47:39.651,2.63,2.85,-3.564677,-6.796667,8.109354
09:47:39.676,2.56,2.86,-2.539628,-5.241423,11.15736
09:47:39.701,2.61,2.85,-6.638709,-4.700496,-4.228259
09:47:39.726,2.66,2.95,-6.107018,-4.685895,-4.214049
09:47:39.751,2.6,2.96,-5.575894,-4.67134,-8.81219
09:47:40.151,2.7,2.77,7.861197,-4.988681,-1.035134
09:47:40.201,2.74,2.74,-1.384398,-12.126001,2.047984
09:47:40.226,2.69,2.8,-16.250502,-7.476839,5.117744
09:47:40.276,2.71,2.77,1.210816,-12.026215,10.194369
09:47:40.301,2.71,2.76,5.317951,-8.914275,9.652021
09:47:40.326,2.62,2.74,-1.860041,-4.276276,9.110274
09:47:40.451,2.86,2.75,-2.415977,-5.303878,4.703976
09:47:40.601,2.66,2.74,6.385656,0.944371,2.044272
09:47:40.626,2.38,2.8,-0.299632,-1.622561,-1.550058
